ISO 639-3	Population
prf	15,000 (2009 J. Lobel).
ana	No known L1 speakers.
prc	3,500 (Kiefer 2009).
anc	400,000 (1998 SIL).
prm	1,180 (2011 SIL). 900 Porome, 280 Kibiri.
prl	
ann	250,000 (2012 U. Aaron), increasing.
prn	8,000 (2011), increasing. 1,600 monolinguals. Ethnic population: 8,000.
pri	7,250 (2009 census), increasing.
prh	23,000.
anj	980 (2000).
ank	200,000 (1995).
pru	700 (1991 SIL).
anu	52,000 (1991 UBS). Total users in all countries: 144,710 (as L1: 142,600; as L2: 2,110).
anv	11,200 (1982 SIL), increasing.
anw	1,400,000 (1991).
anp	725,000 (IMA 1997). Total users in all countries: 745,330 (as L1: 743,600; as L2: 1,730).
prp	151,000 (2000). Total users in all countries: 251,000.
prs	7,600,000 (2011 census), increasing. Ethnic population: 7,600,000. Total users in all countries: 8,990,200.
prr	No known L1 speakers.
anx	1,410 (2000 census).
prx	37,700 (2001 census).
anz	800 (2011 SIL).
prz	19 (Washabaugh 1986). Known by most people on the island including 19 born deaf out of 2,500 to 3,000 population (Washabaugh 1986).
gkp	460,000 (2012 V. Vydrin).
gku	No known L1 speakers.
gko	No known L1 speakers. Last speaker died in the early 1970s.
gkn	100,000 (1989).
gka	130 (Wurm and Hattori 1981).
gke	5.
uya	200.
nlq	1,000 (2012 SIL).
tkg	1,130,000 (2010 T. Bergman).
tkd	39,500 (2010 census).
tke	181,000 (2006).
nlu	1,800 (2003 SIL).
nlw	No known L1 speakers.
nlv	120,000 (1991 SIL). All Nahuatl variety speakers: 1,740,000.
nly	35 (2006 census), decreasing.
nlx	15,000 (2003).
tkl	1,070 (2013 UNSD). Total users in all countries: 3,970.
nlz	1,620 (2007 census), increasing.
nla	45,000 (1993 SIL), increasing.
tkw	800 (2012 A. François).
nlc	16,000 (2013 R. Doriot).
tku	3,270 (2000 INALI). 680 monolinguals. Ethnic population: 5,800.
nle	273,000 (2009 census).
nld	15,700,000 (European Commission 2012). Total users in all countries: 22,163,020.
nlg	11,900 (1999 SIL).
tkq	Ethnic population: 313,000 (2006 J. Leclerc).
nli	5,000 (1994).
nlk	10,500 (1999 J. Wilson).
nlj	43,000 (1993 SIL).
tkz	6,000 (Bradley 2007b).
nll	2,000 (Parkin 1991). Ethnic population: 5,000 (1987).
nlo	8,400 (2002).
ssy	253,000 (2010 J. Leclerc), increasing. Total users in all countries: 289,180 (as L1: 285,800; as L2: 3,380).
dyy	29 (2006 census). Only 3 speakers in 1981 (Wurm 2007).
ssz	1,750 (2003 SIL).
ssu	10 (Wurm 2000).
dyu	8,500,000 in Côte d’Ivoire, all users. L1 users: 1,500,000 (2012 V. Vydrin). L2 users: 7,000,000 (2012 V. Vydrin). Total users in all countries: 12,486,000 (as L1: 2,208,000; as L2: 10,278,000).
ssw	980,000 (2010 J. Leclerc). Total users in all countries: 4,724,200 (as L1: 2,324,200; as L2: 2,400,000).
ssv	450 (Lynch and Crowley 2001). Ethnic population: 1,130.
ssq	10,000 (1994).
ssp	45,000 (1994). Deaf sign language users, total for all three sign languages in Spain: 60,000–80,000 (2000 Instituto Nacional de Estadística), 100,000 (2014 EUD). Based on these numbers and proportions of total population in various regions in Spain, estimated 45,000–75,000 for LSE.
sss	118,000 (2005 census). Total users in all countries: 188,000.
ssr	1,700 (Boyes Braem and Rathmann 2010). 10,000 deaf signers in all of Switzerland (2014 EUD).
ssm	670 (2000).
dym	2,000 (Blench 2005).
dyn	No known L1 speakers (Wurm 2007). Extinct for 2 decades (Wurm 2007).
dyo	340,000. 243,000 Fonyi, 96,700 Buluf. 34,000 monolinguals. Total users in all countries: 397,100.
ssi	60,000 (Gusain 2002). Total users in all countries: 75,600.
dyi	95,500 (1993 SIL).
ssk	560 (1998).
ssj	93 (Wurm 2007).
dyd	No known L1 speakers.
ssd	1,310 (2003 SIL).
ssg	1,240 (2000 census).
dyg	No known L1 speakers.
dya	14,100 (Vanderaa 1991).
dyb	No known L1 speakers.
ssb	200,000 (2007 SIL), increasing. 20,000 monolinguals. Total users in all countries: 260,000.
rms	24,600 (2014 EUD). 93,500 (2014 IMB).
rmp	1,590 (2003 SIL).
rmq	40,000. Total users in all countries: 460,000.
rmw	No known L1 speakers.
rmt	280,000 (2015). Ethnic population: 1,350,000 (2006). Muslim Roma in Egypt: 1,080,000. Total users in all countries: 281,670.
lnz	300.
rmz	150,000 (2007). Total users in all countries: 180,600.
lnw	No known L1 speakers.
rmy	246,000 (2014 UNSD). 6,000,000 to 11,000,000 Roma worldwide (1987 I. Hancock). Total users in all countries: 538,480.
lns	240,000 (2005 SIL), increasing. 72,000 monolinguals. Ethnic population: 240,000.
rmb	36 (2006 census).
lnl	150,000 (1996). 55,000 Langba, 95,000 Ngbugu. Total users in all countries: 153,000.
lno	38,000 (2007 SIL).
lnn	340 (2000). Ethnic population: 850.
rmf	10,000 (2001 census). Total users in all countries: 11,650.
lnh	Ethnic population: 240 (2008 JHEOA).
rmd	No known L1 speakers.
lnj	No known L1 speakers.
lnd	23,000 (2007 SIL). Total users in all countries: 47,500.
rmh	290 (2004 SIL).
rmi	50 (2004 J. Leclerc).
lna	40,000 (1996). Total users in all countries: 43,000.
rmo	80,000 (2000). Ethnic population: 200,000. Total users in all countries: 195,200.
rml	13,600 (2013 UNSD). Total users in all countries: 35,310.
rmm	1,700 (1991 SIL).
poy	185,000 (1987).
pov	839,000 in Guinea-Bissau, all users. L1 users: 239,000 (2016), increasing. L2 users: 600,000. Total users in all countries: 1,061,800 (as L1: 441,800; as L2: 620,000).
pow	3,000 (2000 SIL). 50 monolinguals. Ethnic population: 6,590.
pot	50 (1995 Potawatomi Language Institute). 50 L1 speakers in the United States and Canada, most in the United States. Ethnic population: 25,000 (1997 L. Buszard-Welcher).
por	218,765,470 10,000,000 (European Commission 2012). Total users in all countries: 229,945,470 (as L1: 218,765,470; as L2: 11,180,000).
pos	3,030 (Adelaar 2007). 15 monolinguals.
pop	40 (2006 census), decreasing.
poq	1 (1995 UNSD). Ethnic population: 15,800 (1990 census).
pon	29,000 (Johnstone and Mandryk 2001). 24,000 on Pohnpei, 3,430 on outer islands, 280 elsewhere. Total users in all countries: 31,350.
poo	2 (1997 M. Mithun). Ethnic population: 4,770 (1997 M. Mithun).
pol	37,400,000 (2013 UNSD). Total users in all countries: 40,895,370 (as L1: 40,441,370; as L2: 454,000).
pom	1 (2014 G. Reece).
pok	100 (1983 SIL). Ethnic population: 300 (1988 ISA).
poh	92,200 (1998).
poi	26,000 (2000 INALI).
pof	46,000 (Welmers 1971a).
pog	No known L1 speakers. Ethnic population: 8,450 (2002).
poe	3,690 (2000 INALI). 500 monolinguals. Most women over 60 functionally monolingual.
poc	35,000 (2015 S. Hilario). Ethnic population: 75,000 (2015 S. Hilario).
tnn	5,000 (Lynch and Crowley 2001).
mqa	6,620 (2000).
mqc	7,280 (2000).
mqb	15,000 (2008 SIL), increasing.
mqe	280 (2003 SIL).
mqg	80,000 (Wurm and Hattori 1981).
mqf	2,000 (Wurm 2000).
mqi	280 (2011 SIL).
mqh	6,030 (2000 INALI). 1,000 monolinguals.
mqk	7,560 (2000).
mqj	100,000 (1991 SIL).
mqm	2,700 (2007 census). Ethnic population: 3,270.
mql	37,600 (Tchegnon and Guidibi 2006), increasing. Total users in all countries: 39,900.
mqo	2,000 (1983 SIL).
mqn	37,000 (2000 D. Andersen), increasing. Wita Ea 23,000, Tokotu’a 14,000. Includes about 3,500 living in cities. Second or third generations in cities no longer speak Moronene. 1,850 monolinguals.
mqq	1,200 (2007 SIL).
mqp	1,500 (Voorhoeve and Collins 1981).
mqs	12,000 (Voegelin and Voegelin 1977). 7,000 on Makian Island, 5,000 on Kayoa Islands.
mqr	20 (1991 SIL).
mqu	70,000 (2014 T. Stirtz).
mqt	7 (Wurm and Hattori 1981).
mqw	300 (Wurm and Hattori 1981).
mqv	50 (Wurm 2000).
mqy	900,000.
mqx	60,000 (1991 SIL). 50,000 in Mamuju dialect.
mqz	1,180 (2000 census). Including 433 in Singorokai Ward, 461 in Malasanga Ward and 279 in Kiari Ward.
uha	13,600 (2000).
tnh	3,040 (2003 SIL).
yhl	36,000 (Pelkey 2011), decreasing. Ethnic population: 50,000.
yha	600 (Li 1997), decreasing.
yhd	100,000 (2005 J. Leclerc). Total users in all countries: 100,120.
yhs	10 (2014 D. Adone).
wbv	89 (2006 census). Ethnic population: 200 (1981 W. Douglas).
wbw	1,800 (2012 Y. Sawaki).
wbt	4 (2006 census).
wbr	2,510,000 (2001 census).
wbs	37,000 (2016 R. Johnson).
wbp	2,510 (2006 census).
wbq	172,000 (2001 census). Ethnic population: In India, Pakistan, Nepal, and Sri Lanka about 3 million (2003 IMA).
wbf	4,500 (Johnstone 1993).
wbe	150 (Wurm 2000).
wbb	1,500 (1987 SIL).
wba	28,100 (2007). Ethnic population: 36,000. Total users in all countries: 28,500.
wbl	17,000 (2011 S. Beck), increasing. Ethnic population: 17,000. Total users in all countries: 58,000.
wbm	40,000 (Zhou Zhizhi et al 2004). Many monolinguals. Total users in all countries: 40,700.
wbj	30,000 (Kiessling and Mous 2003).
wbk	11,500 (2011), increasing. 2,300 monolinguals. Ethnic population: 11,500.
wbh	24,000 (1987).
wbi	28,000 (2003 SIL).
gvj	280 (Moore 2006). Ethnic population: 370 (1995 AMTB).
gvn	360 (2006 census), increasing.
gvo	340 (Moore 2006). Ethnic population: 520 (2004 Associação de Defensa Etnoambiental).
gvl	163,000 (1993 census). 23,500 Pen in 26 villages (1995 D. Djarangar).
gvm	3,000 (1989).
gvc	450 (Moore 2006). Total users in all countries: 750.
gva	28 (Crevels 2007). No monolinguals. Ethnic population: 84 (Crevels 2007).
gvf	51,100 (Wurm and Hattori 1981).
gve	400 (2011 SIL), increasing. No monolinguals. Ethnic population: 450.
gvy	No known L1 speakers.
gvr	348,800 in Nepal, all users. 326,000 (2011 census), increasing. 22,800 (2011 census). 12,000 monolinguals. Ethnic population: 523,000 (2011 census). Total users in all countries: 381,800 (as L1: 359,000; as L2: 22,800).
gvs	470 (2000 census), increasing. 50 monolinguals.
gvp	Ethnic population: 810 (2005 ISA). 340 Parakatêjê, 470 Pukobjê.
sqh	
yap	5,130 (2005 UNSD).
ehu	14,200 (2000).
yan	8,000 (Adelaar 2007). 8,540 (2005 census). Ethnic population: 9,760 (2005 census). Total users in all countries: 8,700.
rmu	No known L1 speakers.
jub	4,000.
jua	7 (Moore 2006). 5 speakers belong to one family, all married to Uru-Eu-Wau-Wau [urz] (Crevels 2007).
jud	80,000 (1999 SIL).
juk	100,000 (1994 UBS).
juh	7,000 (Storch 1999). Ethnic population: Much more than 7,000 (Storch 1999).
jui	No known L1 speakers. No speakers in 1996 (AUSTLANG census).
jun	23,700 (2001 census). No monolinguals.
juo	2,000 (Voegelin and Voegelin 1977).
jul	4,830 (2011 census), decreasing.
jum	70,000 (2012 J. Leclerc).
jur	280 (Moore 2006). 1 speaker left in the Terra Indígena Paquiçamba in 1989. Ethnic population: 360 (2006 FUNASA). 35 ethnic group members in the Tierra Indígena Paquiçamba (Crevels 2007).
jus	8 (2005 INF). 8 monolinguals.
jup	1,000 (Crevels 2007). Ethnic population: 1,000 (Crevels 2007). Total users in all countries: 1,240.
juw	1,610 (2000).
juu	900 (1993).
juy	801,000 (2000).
cbb	270 (Civallero 2008). Ethnic population: 280 (Crevels 2007).
cbc	600 (1990 SIL). Total users in all countries: 642.
cbg	350 (2009 T. Malone), increasing. Ethnic population: 1,500 (2009 T. Malone).
cbd	6 (Crevels 2007). 6 speakers near La Pedrera and a few more near Miraflores (Crevels 2007). Ethnic population: 290 (Crevels 2007).
cbj	2,240 (2014 J. Leclerc).
cbk	1,200,000 (Quilis 1996). 300,000 Zamboangueño (Steinkrüger 2013), 359,000 Zamboangueño (Rubino 2008); 4,000 Caviteño; 3,000 Ternateño (Lesho and Sippola 2013); 5,470 Cotabato Chavacano (Wurm and Hattori 1981).
cbi	9,390 (2012 UNSD).
cbn	1,500 (2006 C. Shimmin), decreasing. No monolinguals. Ethnic population: 3,000 (Thongkum 1984).
cbo	1,500 (Blench 2003).
cbl	2,500 (2006).
cbr	1,900 (2007 census). Some women over 50 monolingual. Ethnic population: 1,900 (2007 census).
cbs	750 (Crevels 2007). Ethnic population: 1,000 (Crevels 2007). Total users in all countries: 1,150.
cbq	1,000 (2014 S. McGill).
cbv	400 (2010 A. Gonzalez). Many monolinguals, especially children.
cbw	14,000 (2009 J. Lobel).
cbt	7,870 (Crevels 2007). Ethnic population: 12,000 (Crevels 2007).
cbu	1,120 (Crevels 2007). Ethnic population: 3,000 (Crevels 2007).
cby	150. Ethnic population: 200 (Crevels 2007).
igw	47,800 (2000).
igg	200 (2003 SIL). Ethnic population: 260 (2000 census).
ige	250,000 (1991 UBS).
igb	1,000,000 (1989 J. Adive). 900,000 monolinguals.
igo	910 (Wurm and Hattori 1981).
ign	4,500 (Adelaar 2004). Ethnic population: 20,800 (Adelaar 2004). Includes Trinitario [trn].
igm	1,080 (Wurm and Hattori 1981).
igl	800,000 (1989 UBS).
hwo	32,000 (1992).
hwc	1,000,000, all users. 600,000 (2012 J. Grimes). Another 100,000 on the United States mainland. 400,000.
hwa	2,100 (1993 SIL).
pto	150 (1998 ISA). Ethnic population: 150 (Moore 2006).
ptn	10,600 (2000).
all	350 (Shashi and Shri 1994).
alm	150 (1983 SIL). Ethnic population: 220.
alj	2,150 (2002 UNSD).
alk	4,000 (Bradley 2007a).
pti	320 (2006 census).
ali	1,780 (2003 SIL).
alf	16,300 (2013 SIL).
ald	23,000 (1993 SIL).
ale	150 (Krauss 2007). Ethnic population: 2,300 (Dorais 2010). Total users in all countries: 155.
alc	12 (2006 O. Aguilera). 10 in Puerto Edén. Ethnic population: 2,620 (2002 census).
pta	600 (Crevels 2007), decreasing. Ethnic population: 8,030 (Crevels 2007).
ala	35,100 (2000).
alz	750,000 (Johnstone and Mandryk 2001). Total users in all countries: 1,735,000.
pty	1,000 (2004 SIL).
aly	1,660 (2006 census).
ptv	1,300 (Lynch and Crowley 2001).
ptu	22,000 (Strømme 1987).
ptt	50,000 (1986 SIL).
alr	25 (2010 census), decreasing. Some monolinguals. Ethnic population: 2,000 (1997 M. Krauss).
ptr	150 (Wurm and Hattori 1981). Ethnic population: 210.
alp	17,200 (2000).
alq	1,760 (2011 census), decreasing. 180 monolinguals. Ethnic population: 5,000 (1987 SIL).
rob	340,000 (2000 census), increasing.
faz	
fax	11,000 (2015 J. Pearson). 5,500–6,000 live in the language area; 5,000 outside, many of whom return each summer.
fay	100,000 (2012).
far	6,700 (1999 SIL).
fas	61,929,420 A macrolanguage. Population total all languages: 61,929,420
fap	12,000 (2015 J. Leclerc), decreasing.
fau	1,400 (2012 SIL).
faj	10 (Daniels 2015).
fak	4,000 (Good et al 2011).
fah	Few left (Crozier and Blench 1992).
fai	4,500 (1987 SIL).
fan	624,000 in Equatorial Guinea, all users. L1 users: 589,000 (2013 S. Smith), increasing. L2 users: 35,000 (2013 S. Smith). Total users in all countries: 1,106,900 (as L1: 1,071,900; as L2: 35,000).
rof	
fal	20,000 (1982 SIL).
fam	1,000 (1984).
fab	5,000 (2010 SIL). No monolinguals. Total users in all countries: 5,600.
uwa	40 (Wurm and Hattori 1981).
faa	1,200 (Wurm and Hattori 1981). 750 Fasu, 300 Namuni, 150 Some.
faf	900 (1999 SIL).
fag	1,300 (2002 SIL). 40 monolinguals. Ethnic population: 1,350.
fad	3,380 (2003 SIL).
teh	No known L1 speakers. Last speaker died in the 1960s or 1970s (Crevels 2007). Ethnic population: 10,600 (2004 INDEC).
tei	520 (2003 SIL).
nby	150 (2003 SIL).
tek	167,000 (2000). Total users in all countries: 203,200.
tel	79,244,300 78,800,000 in India, all users. 73,800,000 (2001 census). 5,000,000. Total users in all countries: 79,244,300 (as L1: 74,244,300; as L2: 5,000,000).
tem	1,870,000, all users. L1 users: 1,630,000 (2016). L2 users: 240,000 (1981 D. Cranmer).
ten	No known L1 speakers.
teo	2,360,000 (2014 census), increasing. Census based on tribal affiliation. Total users in all countries: 2,699,000.
nbs	8,310 (2008 WFD).
nbr	40,000 (2008 K. Hannelova et al.).
nbq	4,400 (2005).
nbp	3,000 (1987 O. Asinya).
nbw	105,000.
nbv	8,000 (2002 SIL).
nbu	61,200 (2001 census).
nbt	1,500.
nbk	170 (Wurm and Hattori 1981).
nbj	370 (Black 1983). 360 Ngarinman, 15 Bilinara (2006 census).
nbi	81,000 (1997).
nbh	60,000 (1993).
nbo	1,000 (1973 SIL).
nbn	500 (1982 SIL).
nbm	88,000 (1996). Total users in all countries: 234,000.
nbl	2,490,000, all users. L1 users: 1,090,000 (2011 census). L2 users: 1,400,000 (Webb 2002).
nbc	62,400 (2001 census).
nbb	7,340 (2000).
nba	222,000 (Johnstone and Mandryk 2001). Total users in all countries: 231,540.
tes	80,000 (2000 census).
nbg	No known L1 speakers.
teu	50 (2012 SIL), decreasing. Ethnic population: 23,400 (2014 census).
nbe	248,000 (2001 census). Total users in all countries: 250,000.
nbd	4,200 (2002).
sug	350 (2000 census).
sue	3,600 (2000 SIL). Ethnic population: 3,700.
suc	125,000 (2011 SIL).
sub	50,000 (1980 UBS).
sua	2,500 (1991 SIL).
sun	34,000,000 (2000 census). Ethnic population: 36,700,000 (2011 census).
sbu	2,500 (1996).
suk	7,300,000 (2013 J. Leclerc), increasing.
suj	153,000 (1987).
sui	3,510 (2003 SIL).
rou	21,500 (1993 census), decreasing. Total users in all countries: 43,000.
suw	191,000 (1987).
sbz	13,600 (1996).
sut	No known L1 speakers. Ethnic population: 5,000 (1981 MARC).
sus	906,000 (Johnstone and Mandryk 2001). Total users in all countries: 1,106,110.
sur	150,000 (2016 R. Blench).
suq	26,900 (2007 census), increasing. 18,700 monolinguals.
row	7,000 (2002 UKAW).
sbx	37,000 (2007 SIL).
suy	350 (2006 FUNASA). 330 Suya (main dialect); 58 Tapayúna (1995 ISA). Ethnic population: 350 (2006 FUNASA). All Tapayuna speak their native language (Crevels 2007).
sby	34,100 (2010 census).
sbb	2,700 (1999 SIL).
sbc	1,460 (2000 census).
sba	1,320,000 (2013 J. Leclerc). Total users in all countries: 1,377,000.
sbf	400 (2000 M. Brenzinger), decreasing. Ethnic population: 600 (2000).
sbg	1,200 (1988 SIL).
rkt	10,325,000 in Bangladesh, all users. 10,000,000 (2007 SIL). 325,000 (2015 SIL). Total users in all countries: 15,325,000 (as L1: 15,000,000; as L2: 325,000).
rkw	No known L1 speakers.
sbd	85,000 (1998). All Samo (San) languages: 233,000 (2009 UNSD).
sbe	2,500 (2007 SIL), increasing. 1,000 monolinguals. Young children, elderly.
sbj	7,890 (2000).
rka	4,200 (2009 UNSD). 4,200 monolinguals.
rkb	40 (2010 SIL). Ethnic population: 1,140 (2006 FUNASA).
sbk	158,000 (1987), increasing.
rkm	135,000 (2009 UNSD). Total users in all countries: 185,800.
rkh	320 (2011 census). Total users in all countries: 2,820.
rki	1,820,000 in Myanmar, all users. 800,000 (2013 SIL). 1,020,000 (2013 SIL). Total users in all countries: 2,020,000 (as L1: 1,000,000; as L2: 1,020,000).
sbi	160 (2003 SIL). Ethnic population: 160 (2000 census).
sbn	56,500 (2000).
sbl	32,900 (2000 SIL), increasing.
sbm	79,000 (1987).
yva	10,000 (2011 SIL).
anl	4,000 (2008), decreasing.
anm	23,200 (2001 census). Total users in all countries: 23,250.
pzn	1,500 (2004).
sce	200,000 (Bradley 2007a). Half in Suonanba dialect. 80,000 monolinguals. Ethnic population: 514,000 (Bradley 2007b).
oyy	370 (1990 census).
scg	45,000 (Wurm and Hattori 1981).
oyd	40,940, all users. L1 users: 36,900 (2010 UNSD). L2 users: 4,040. 6,250 monolinguals.
oyb	23,500 (2015 census). 8,960 monolinguals. Ethnic population: 23,500 (2015 census).
lha	5,690 (1999 census). Ethnic population: 8,180 (2009 census).
lhn	350 (Wurm and Hattori 1981).
lhm	7,000 (2014 SIL), increasing. Ethnic population: 15,000. Total users in all countries: 9,320.
lhl	750 (1996).
lhi	117,000 (Bradley 2007b), increasing. Few monolinguals. Ethnic population: 120,000. Total users in all countries: 196,200.
lhh	3,890 (1987 SIL).
lhu	280,000 (Bradley 2007b). Total users in all countries: 530,350.
lht	650 (2007 A. François).
lhs	No known L1 speakers. The last speaker died in 1998.
lhp	2,500 (Van Driem 1993).
mmg	5,250 (2001 SIL).
ynl	400 (2000 census).
yno	12,600 (2000).
ynk	60 (Dorais 2010). Ethnic population: 450 (Dorais 2010).
ynd	No known L1 speakers.
yne	2,000 (2007).
yng	3,000 (1986 SIL).
yna	25,000 (2007 J. Pelkey). Ethnic population: 40,000 (Bradley 2007b).
ynu	No known L1 speakers. Ethnic population: 95 (Crevels 2007).
ynq	50,000 (1987).
yns	100,000 (1997 S. Mufwene).
tln	1,200 (2011 A. Tadollo), increasing.
izh	120 (2010 census). L1 speakers should not be confused with Ingrian Finns, who speak Finnish [fin]. Ethnic population: 820 (1989 census).
izr	50,000 (1993 SIL).
izz	540,000 (2012 SIL).
ima	1,000 (2004).
wlx	84,800 (2013 UNSD).
wly	No known L1 speakers (2011).
wlr	100 (Wurm and Hattori 1981). Ethnic population: 140.
wls	7,660 (2015 World Factbook). Total users in all countries: 8,440.
wlu	No known L1 speakers.
wlv	25,000 (1991 UBS). Ethnic population: 40,000 (2004 INDEC). 40,000 Wichí Güisnay, Wichí Vejoz and Wichí Nocten (2004 INDEC).
wlw	20,000 (2007 P. Seow).
wli	3,000 (Voorhoeve and Visser 1987).
wlk	No known L1 speakers.
wll	9,000 (2007 SIL). Many monolinguals.
wln	600,000 (Salminen 2007), decreasing. Active speakers may only be 300,000 (Salminen 2007). Few monolinguals.
wlo	65,000 (2004 D. Andersen). Population does not include those in other provinces.
wla	230 (2003 SIL).
wlc	40,000 (2015 J. Leclerc). Total users in all countries: 41,500.
wle	
wlg	16 (2006 census), decreasing. Ethnic group members generally speak Gunwinggu [gup].
pmq	340 (2000 INALI).
gpn	75 (Wurm 2007).
gpe	5,002,000, all users. L1 users: 5,000,000 (2011 V. Velupillai). L2 users: 2,000 (1990 UBS).
gpa	15,000 (1989). 10,000 or more Gupa, 5,000 Abawa.
scv	6 (2004 R. Blench). Ethnic population: 1,500.
efi	2,400,000 in Nigeria, all users. L1 users: 400,000 (1998). L2 users: 2,000,000. Total users in all countries: 2,405,260 (as L1: 405,260; as L2: 2,000,000).
efa	6,320 (2000). Total users in all countries: 7,210.
efe	20,000 (1991 SIL).
jsl	317,000 (Van Cleve 1986).
scq	10 (2009 J. Filipi), decreasing. Ethnic population: 450.
scp	10,200 (2011 census). Very few monolinguals.
cde	26,000 (2007).
cdf	7,000 (2000 A. Khorong).
cdg	406,000 (2001 IMB).
cda	154,000 (2004).
rtc	4,000 (2016 LSDO), decreasing. Ethnic population: 20,000 (2016 LSDO).
rtm	9,000 (2011 J. Leclerc).
cdm	48,500 (2011 census), decreasing. No monolinguals. Ethnic population: 68,400 (2011 census).
scs	230 (2011 census). Ethnic population: 1,950 (Golla 2007). Bearlake dialect: 1,070. Hare dialect: 710. Mountain dialect: 170 (Golla 2007).
cdo	8,820,000 (2000). Total users in all countries: 9,114,870.
cdh	130,000 (1991 census).
rth	500 (Himmelmann and Wolff 1999), decreasing. Ethnic population: 30,000 (1989).
cdj	111,000 (1991 census).
rtw	451,000 (2006 IMB).
cdr	45,000 (2010 Z. Yoder et al.).
cds	2,800 (2008 WFD). 2,800 deaf signers out of 7,000 total deaf (2008 WFD).
tcz	243,000 (2001 census). Total users in all countries: 269,200.
cdy	20,000 (Li 2006).
cdz	43,000 (2001 census). Total users in all countries: 44,300.
bfc	12,000 (2005).
bfb	638,000 (2001 census).
bfa	595,000 in South Sudan, all users. L1 users: 420,000 (2000). L2 users: 175,000 (2013 SIL). Total users in all countries: 655,000 (as L1: 480,000; as L2: 175,000).
bfg	3,000 (Wurm and Hattori 1981).
bff	23,500 (1996).
bfe	600 (2005 SIL).
bfd	100,000 (Tamanji 2009), increasing.
bfk	400 (Nonaka 2009), all users. Conservative estimate: 15%–25% of the village signs to some extent. 16 deaf users, plus an unknown number of hearing L1 users.
bfj	17,000 (2008 SIL).
bfi	327,000, all users. 77,000 (2014 EUD). 250,000 (2013 K. Crombie Smith).
bfh	670 (2003 SIL).
bfo	108,000 (1993). Many monolinguals.
bfn	55,000 (2010 census). Total users in all countries: 76,000.
bfm	35,000 (2001 SIL), increasing. 1,000 Fungom (1993 SIL).
bfl	35,500 (1996).
bfs	400,000 (2003).
bfr	58,200 (1981 census). Ethnic population: 800,000.
bfq	135,000 (2001 census).
bfp	3,000 (2002 SIL).
bfw	9,000 (2002 SIL). 5,570 Upper Bondo and 3,500 Lower Bondo. Few Lower Bondo are monolingual.
bfu	4,000 (1997).
bft	327,000 (2004 J. Leclerc). Total users in all countries: 347,000.
bfz	1,000,000 (2002).
bfy	2,860,000 (2001 census).
bfx	71,600 (2007 J. Lobel).
tct	20,000 (Bradley 2007a). Ethnic population: 25,000 (2000 D. Bradley).
hir	40.
tcu	5,410 (2000 INALI).
hiw	150 (2007 A. François).
hix	600 (2000 SIL). Ethnic population: 680 (Moore 2006).
tcs	6,040 (2006 census).
hia	40,000 (1993).
hib	No known L1 speakers.
hid	200 (Golla 2007). 25–50 semifluent speakers. 6 monolinguals. Ethnic population: 600 (2000 census).
tcp	700 (1996 D. van Bik).
hif	380,000 (1991 UBS).
hig	300,000 (1992).
hih	1,500 (2000 SIL). Ethnic population: 1,620 (2000 census).
hii	29,700 (2001 census).
hij	400 (1992 SIL).
hik	10,200 (1987 SIL).
hil	5,770,000 (2000 census).
hin	260,129,750 378,000,000 in India, all users. 258,000,000 (2001 census). 120,000,000 (Wiesenfeld 1999). Total users in all countries: 381,359,750 (as L1: 260,129,750; as L2: 121,230,000).
hio	2,000 (Brenzinger 2013). Total users in all countries: 5,540.
tcn	2,420 (2000).
tco	40,000 (2000 D. Bradley).
tcl	No known L1 speakers. Last Taman speaker died in 1990s. Descendants intermarried and now speak other languages.
tcm	500 (1978 SIL).
tck	2,000 (2003).
arp	1,090 (2010 census), decreasing. Ethnic population: 5,940 (Golla 2007).
arq	29,000,000 in Algeria, all users. L1 users: 26,000,000 (2012 Sherbrooke University), increasing. L2 users: 3,000,000. Total users in all countries: 32,326,500 (as L1: 29,326,500; as L2: 3,000,000).
arr	210 (2006 Associação de Defensa Etnoambiental). Spoken by almost everyone in the two villages (Crevels 2007).
ars	843,000 (2011 J. Leclerc). Total users in all countries: 4,488,300.
tch	10,700 (1995), decreasing.
arv	10,320, all users. L1 users: 7,210 (2010 UNSD). L2 users: 3,110. 3,900 monolinguals (1994 census).
arw	2,100 (2005 J. Leclerc). Very few monolinguals. Total users in all countries: 3,850.
arx	12 (1990 YWAM). Ethnic population: 58 (Moore 2006).
ary	24,800,000 in Morocco, all users. L1 users: 19,800,000 (2014 J. Leclerc). L2 users: 5,000,000. Total users in all countries: 28,421,200 (as L1: 23,301,200; as L2: 5,120,000).
arz	62,300,000 (2016). Total users in all countries: 64,542,400.
tci	700 (2002 SIL).
roc	3,000 (2002).
ara	291,783,650 A macrolanguage. Population total all languages: 291,783,650
arb	24,900,000 in Saudi Arabia (2014 SIL), all users. Total users in all countries: 273,989,700.
ard	12 (2006 census).
are	1,000 (Wurm and Hattori 1981).
arg	30,000, all users. 10,000 (Salminen 2007). 20,000 (1993 Counsel of the Aragonese Language). 500 monolinguals (1993). Older adults. Ethnic population: 2,000,000 (1994).
arh	8,000 (2009 P. Frank). 7,200 monolinguals. Ethnic population: 14,300.
ari	10 (Golla 2007), decreasing. Ethnic population: 94 (2000 census).
arj	No known L1 speakers. Ethnic population: 320 (Moore 2006).
ark	2 (2009 FUNASA). Ethnic population: 32 (2009 FUNASA).
